id,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9
0,melhor, implant, sanit, municipi, domicili, no, par, control, doenc, setor,
1,cas, minh, cerr, ix, guaran, geograf, ipueir, nobr, d'ajuda, memor,
2,obras, contenca, salvador, encost, multius, cab, estabiliz, perifer, r1, complet,
3,industr, alter, itagua, prisc, itacurub, 1200, ruas:rua, ec, start, ups,
4,plan, trabalh, desenvolv, vis, esforc, particip, conjug, acord, aprov, devid,
5,cap, acontec, nicolau, rendiment, veloc, direca, canoag, candiot, cep, on,
6,s, n, p, n?, licenciatur, modal, disposit, blic, especi, 29,
7,revitaliz, prac, irrig, salt, caix, kits, centenari, farroupilh, festiv, temp,
8,estrad, vicin, recuper, municipi, rural, no, adequ, zon, km, assent,
9,realiz, festival, cidad, olimp, feminin, fortal, edica, celebr, goian, 07,
10,esport, social, estrutur, servic, red, moderniz, implant, infraestrutur, proteca, construca,
11,municipi, no, construca, infraestrutur, turist, projet, apoi, sao, reform, prac,
12,paiv, delfin, marquinh, mafald, alons, turistc, turr, osmar, endrig, zene,
13,paviment, vias, municipi, urban, asfalt, ruas, public, drenag, recape, no,
14,par, no, ?, realiz, apoi, famili, aco, projet, desenvolv, fortalec,
15,feir, livr, academ, ar, 03, julh, ginast, idad, condicion, agost,
16,aquisica, equip, par, unidad, saud, atenca, especializ, permanent, material, patrulh,
17,port, central, vermelh, serta, armazen, itaqu, plastic, japaratub, pernambucan, avuls,
18,sanitari, tanqu, cam, 2016, prepar, fest, carnaval, pra, colon, colet,
19,rua, m, part, ?, pio, munic, galpa, seguint, bara, largur,
